x1_verts,x2_verts,n_verts_perterbed,delta,dcorr_median,mgc_median,dcorr_opt,mgc_opt
20,20,0,0.5,0.026,0.048,0.024,0.028
20,20,0,1.0,0.016,0.042,0.018,0.016
40,40,0,0.5,0.038,0.146,0.01,0.014
40,40,0,1.0,0.03,0.098,0.01,0.016
60,60,0,0.5,0.138,0.326,0.032,0.068
60,60,0,1.0,0.148,0.33,0.032,0.054
80,80,0,0.5,0.23,0.46,0.032,0.08
80,80,0,1.0,0.224,0.454,0.022,0.054
100,100,0,0.5,0.274,0.472,0.024,0.062
100,100,0,1.0,0.274,0.51,0.022,0.058
120,120,0,0.5,0.302,0.53,0.024,0.064
120,120,0,1.0,0.322,0.554,0.024,0.046
140,140,0,0.5,0.388,0.58,0.034,0.038
140,140,0,1.0,0.438,0.624,0.022,0.048
160,160,0,0.5,0.468,0.636,0.032,0.04
160,160,0,1.0,0.464,0.614,0.018,0.022
180,180,0,0.5,0.498,0.612,0.024,0.028
180,180,0,1.0,0.552,0.658,0.022,0.028
200,200,0,0.5,0.59,0.654,0.018,0.028
200,200,0,1.0,0.57,0.654,0.024,0.042
20,20,10,0.5,0.018,0.034,0.02,0.02
20,20,10,1.0,0.014,0.046,0.012,0.014
40,40,20,0.5,0.012,0.072,0.016,0.012
40,40,20,1.0,0.03,0.126,0.02,0.034
60,60,30,0.5,0.116,0.306,0.036,0.064
60,60,30,1.0,0.108,0.322,0.024,0.06
80,80,40,0.5,0.158,0.404,0.026,0.074
80,80,40,1.0,0.188,0.522,0.026,0.116
100,100,50,0.5,0.26,0.558,0.022,0.092
100,100,50,1.0,0.244,0.674,0.038,0.228
120,120,60,0.5,0.298,0.646,0.028,0.128
120,120,60,1.0,0.364,0.802,0.08,0.308
140,140,70,0.5,0.342,0.67,0.058,0.13
140,140,70,1.0,0.392,0.818,0.102,0.316
160,160,80,0.5,0.396,0.702,0.066,0.156
160,160,80,1.0,0.502,0.866,0.128,0.378
180,180,90,0.5,0.44,0.766,0.052,0.158
180,180,90,1.0,0.574,0.91,0.158,0.462
200,200,100,0.5,0.56,0.796,0.068,0.164
200,200,100,1.0,0.618,0.932,0.168,0.54
20,20,20,0.5,0.01,0.036,0.012,0.008
20,20,20,1.0,0.018,0.122,0.024,0.034
40,40,40,0.5,0.04,0.148,0.02,0.034
40,40,40,1.0,0.074,0.288,0.036,0.098
60,60,60,0.5,0.114,0.324,0.036,0.088
60,60,60,1.0,0.148,0.498,0.042,0.214
80,80,80,0.5,0.14,0.578,0.032,0.148
80,80,80,1.0,0.312,0.814,0.114,0.554
100,100,100,0.5,0.234,0.772,0.06,0.458
100,100,100,1.0,0.484,0.972,0.28,0.902
120,120,120,0.5,0.332,0.898,0.084,0.728
120,120,120,1.0,0.716,1.0,0.506,0.992
140,140,140,0.5,0.442,0.98,0.13,0.932
140,140,140,1.0,0.882,1.0,0.736,1.0
160,160,160,0.5,0.474,0.998,0.152,0.978
160,160,160,1.0,0.952,1.0,0.884,1.0
180,180,180,0.5,0.568,0.998,0.264,0.996
180,180,180,1.0,0.984,1.0,0.954,1.0
200,200,200,0.5,0.644,1.0,0.35,1.0
200,200,200,1.0,1.0,1.0,0.992,1.0
